landing distance,landing direction,bot x velocity,bot y velocity,rpm,angle,speed
3.6101652448700756,0.0,0.0,0.0,5450.0,4.5,8.285230264188737
3.6194497491573223,0.0,0.0,0.0,6000.0,4.5,8.264359893694506
3.619847650935162,0.0,0.0,0.0,5500.0,4.5,8.293788982271355
3.627411178581156,0.0,0.0,0.0,5950.0,4.5,8.276713224594259
3.6277590979987964,0.0,0.0,0.0,5550.0,4.5,8.300256495455738
3.633621373829377,0.0,0.0,0.0,5900.0,4.5,8.28697535059577
3.6338995801599525,0.0,0.0,0.0,5600.0,4.5,8.304632803741882
3.6380759532009614,0.0,0.0,0.0,5850.0,4.5,8.295146271699048
3.6382696507595025,0.0,0.0,0.0,5650.0,4.5,8.306917907129789
3.6407710837601073,0.0,0.0,0.0,5800.0,4.5,8.30122598790409
